content_id,title,genre,poster_url,rating_count,rating_avg,overview
262,Squirrel Boy,Animation Comedy,https://image.tmdb.org/t/p/original/ukNq4x6HB1wsmTZYelQxMja8GCJ.jpg,17,4.882,"Squirrel Boy is an American animated television series produced by Cartoon Network Studios. The series, created and executive-produced by Everett Peck, who also the creator of the more adult-humored Duckman, ran from May 27, 2006 until September 27, 2007 on Cartoon Network, with a total of 52 eleven-minute episodes. It also aired on Cartoon Network Australia in Australia and Teletoon in Canada and also in some parts of Africa.

The series has no home video release, and is only available on iTunes."
265,Clangers,Kids Animation Family,https://image.tmdb.org/t/p/original/vAkEsduod4ng2N1tkyqd68Z5oQD.jpg,9,7.0,"The Clangers are strange, long-nosed, pink, woolly creatures that live inside a small blue planet, which lies far, far away in space.Under the dustbin-lidded craters that cover the planet's surface is the cave system where the these strange yet cuddly extraterrestrials live. They share their world with the bizarre Soup Dragon, who lives in a soup well and provides them with their staple diet of green soup and blue string pudding; the Glow Buzzers, which supply light and tasty glow honey; and the tiny orange Froglets, magical creatures that live inside a travelling top-hat. Other beings encountered by the Clangers are the Iron Chicken, originally found in pieces and who, once reconstructed by the little planet's inhabitants, now lives in a nest in the sky; the large, odd, blue-skinned Skymoos; and the water-providing Cloud."
272,Korgoth of Barbaria,Action & Adventure Animation Comedy,https://image.tmdb.org/t/p/original/lch9Qu3HD5CBx9VoUvRgRJ04mFE.jpg,15,7.8,"Korgoth of Barbaria is a pilot episode for what was originally planned as an American animated television series created by Aaron Springer, storyboard writer and director for Dexter's Laboratory, The Grim Adventures of Billy & Mandy and SpongeBob SquarePants. The pilot episode first aired in the United States on June 3, 2006 at 12:30 AM on Adult Swim. The pilot received mostly positive reviews. On June 18, 2006, Adult Swim ran a bumper announcing Korgoth of Barbaria was officially picked up as a series. Later events, including a formal petition to revive the show, would indicate that it was dropped before production began."
273,Jimbo and the Jet Set,Animation,https://image.tmdb.org/t/p/original/zyPHrhGnnrkYDmwgbxBb84vFPIM.jpg,2,7.2,"Jimbo and the Jet Set is a British animated cartoon series broadcast in the 1980s, featuring the adventures of the eponymous Jimbo, a talking aeroplane. Created by Maddocks Cartoon Productions, it originally ran for 25 episodes between 1985 and 1986.

The premise of the cartoon is that Jimbo was originally intended to be a Jumbo Jet, but his designer could not tell the difference between inches and centimetres, resulting in his diminutive size. If Jimbo's designer switched the imperial measurements of the Boeing 747 for metric, the result would have been an aircraft with a fuselage length of 91 ft; this would make Jimbo roughly the length of an early-series Boeing 737.

The television series features various talking airport-type ground vehicles: Tommy Tow-Truck, Claude Catering, Amanda Baggage, Phil the Fuel Truck, Sammy Steps and Harry Helicopter. Other plane characters appear from time to time, such as Old Timer, a Vickers Wellington bomber who gets into the story while flying to or from an airshow. The story is based at a fictional ""London Airport"", under the command of an irate controller who frequently ends episodes screaming ""I want words with you, Jimbo!""."
281,NASCAR Racers,Animation Action & Adventure,https://image.tmdb.org/t/p/original/xi3XaKx0v4gpaQcWp6Rf0yA20wm.jpg,11,7.909,"NASCAR Racers is an animated television series about two rival NASCAR racing teams, Team Fastex and Team Rexcor, competing against each other in the futuristic NASCAR Unlimited Division."
288,¡Mucha Lucha!,Kids Comedy Animation,https://image.tmdb.org/t/p/original/w12B6di7moo2otX4X4y3y3gKagz.jpg,337,8.273,"¡Mucha Lucha! is an American-Canadian animated television series created by Eddie Mort and Lili Chin. The show is set in a town centered around lucha libre and follows the adventures of three children, Rikochet, The Flea and Buena Girl, as they struggle through the Foremost World-Renowned International School of Lucha, where they study."
292,Moral Orel,Drama Animation Comedy,https://image.tmdb.org/t/p/original/1OSdgNEIYzCDYDmvJcGGBXgsAnR.jpg,52,7.981,"Orel is an 11-year-old boy who loves church. His unbridled enthusiasm for piousness and his misinterpretation of religious morals often lead to disastrous results, including self-mutilation and crack addiction. No matter how much trouble he gets into, his reverence always keeps him cheery."
317,Courageous Cat and Minute Mouse,Animation,https://image.tmdb.org/t/p/original/jYWECxjpLth2gj7dqNTv5Dyk6AX.jpg,1,7.0,"Courageous Cat and Minute Mouse is a children's cartoon television show that was produced by Trans-Artists Productions and syndicated by Tele Features Inc. in 1960. The characters were created by Bob Kane as a parody of his earlier works Batman and Robin and in many ways predict the more campy aspects of the later live action series. This series and characters are trademarked and copyrighted and is currently owned by Telefeatures, LLC."
325,The Adventures of the Galaxy Rangers,Animation Western Action & Adventure,https://image.tmdb.org/t/p/original/wo44yfN8zni0iG9r8vCxfgeEeiA.jpg,15,7.533,"The Adventures of the Galaxy Rangers is an American animated Space Western television series created by Robert Mandell and Gaylord Entertainment Company.

The series combines sci-fi stories with traditional wild west themes. It is one of the first anime-style shows produced mainly in the USA, although the actual animation was done by the Japanese animation studio Tokyo Movie Shinsha. At the time it aired, The Adventures of the Galaxy Rangers was considered a revolutionary children's show."
334,Sealab 2021,Animation Comedy,https://image.tmdb.org/t/p/original/eA4JJfHZ6DdfPd3BCu5qWm99Fl5.jpg,63,7.683,"The year is 2021. Deep below the ocean's surface, looms a vast, magnificently high-tech compound: Sealab. A multi-national scientific station with an annual budget in the trillions, manned by a motley collection of malcontents and screw-ups who were unfit for work in the private sector. They really don't get any research done, but instead spend their time bickering among themselves or just plain goofing off. The crew have manipulated their luckless leader, Captain Murphy, into submission, and are content to ride the government clock, raking in fat, hazardous-duty paychecks."
